Corrida,Beneficio,PromedioTiempoEnCola,TasaDeAtencion,PorcentajeTiempoLibre,UtilizacionEmpleada
973,117000.0000,2.1886,13.6250,21.79,12.15
974,114900.0000,2.1439,14.7500,18.13,12.03
975,95850.0000,0.8263,12.7500,36.23,6.92
976,115950.0000,4.5576,15.6250,16.49,19.97
977,108300.0000,0.6214,13.5000,41.26,5.37
978,126900.0000,6.3513,17.0000,11.97,23.56
979,102000.0000,2.2373,14.2500,28.73,12.20
980,102000.0000,2.7774,13.7500,22.54,15.51
981,96450.0000,0.9051,13.1250,38.97,6.93
982,111300.0000,1.1765,15.0000,28.94,7.52
983,93450.0000,0.6315,12.2500,40.03,6.04
984,114600.0000,3.6314,14.2500,13.24,18.85
985,104550.0000,0.6771,14.6250,40.19,5.24
986,107550.0000,1.6594,14.0000,25.72,9.93
987,109500.0000,1.4085,14.2500,27.04,8.95
988,111600.0000,2.8585,14.5000,15.89,15.20
989,122850.0000,0.8666,16.1250,29.48,5.86
990,116850.0000,2.2863,15.8750,17.50,11.77
991,130050.0000,5.7033,16.3750,25.19,23.62
992,116250.0000,2.1303,15.8750,29.29,10.60
993,107100.0000,2.0661,14.7500,33.30,11.15
994,99000.0000,1.0399,14.3750,31.09,7.24
995,107250.0000,1.6234,14.0000,27.22,9.90
996,122400.0000,1.7903,16.3750,22.59,9.42
997,117450.0000,1.5433,15.7500,24.84,8.43
998,101250.0000,0.7631,12.7500,43.24,6.30
999,110550.0000,2.1759,15.3750,19.43,10.97
1000,126750.0000,1.9666,16.3750,28.19,9.88
